zeta,omega_n,capacity_cost,co2capacity,gridcost
0.0,0.0,1000000.0,0.5488135039273248,0.4222391758379743
0.0,0.0,1450000.0,0.7151893663724195,0.5042958826186391
0.0,0.0,1900000.0,0.6027633760716439,0.14370939466398824
0.0,0.0,2350000.0,0.5448831829968969,0.12592661100888847
0.0,0.0,2800000.0,0.4236547993389047,0.2986701303211242
0.0,0.0,3250000.0,0.6458941130666561,0.5175394630953782
0.0,0.0,3700000.0,0.4375872112626925,0.9483270028738602
0.0,0.0,4150000.0,0.8917730007820798,0.15791164760087995
0.0,0.0,4600000.0,0.9636627605010293,0.24785214597854244
0.0,0.0,5050000.0,0.3834415188257777,0.6599391632317794
0.0,0.0,5500000.0,0.7917250380826646,0.23783496715410446
0.0,0.0,5950000.0,0.5288949197529045,0.7908252852355594
0.0,0.0,6400000.0,0.5680445610939323,0.41050760175662093
0.0,0.0,6850000.0,0.925596638292661,0.6905913700300276
0.0,0.0,7300000.0,0.07103605819788694,0.5299356699093846
0.0,0.0,7750000.0,0.08712929970154071,0.802986546286882
0.0,0.0,8200000.0,0.02021839744032572,0.9088978721961255
0.0,0.0,8650000.0,0.832619845547938,0.393939405935367
0.0,0.0,9100000.0,0.7781567509498505,0.541457804375623
0.0,0.0,9550000.0,0.8700121482468192,0.8530069143397392
0.0,0.0,10000000.0,0.978618342232764,0.12469428189889609
0.0,0.05,1000000.0,0.7991585642167236,0.859876777315778
0.0,0.05,1450000.0,0.46147936225293185,0.4437609858849323
0.0,0.05,1900000.0,0.7805291762864555,0.9111372678903917
0.0,0.05,2350000.0,0.11827442586893322,0.9265459573234902
0.0,0.05,2800000.0,0.6399210213275238,0.7746374928253331
0.0,0.05,3250000.0,0.1433532874090464,0.07804473801355816
0.0,0.05,3700000.0,0.9446689170495839,0.5289635673604531
0.0,0.05,4150000.0,0.5218483217500717,0.9148210184160162
0.0,0.05,4600000.0,0.4146619399905236,0.40526852582571127
0.0,0.05,5050000.0,0.26455561210462697,0.15993866317813432
0.0,0.05,5500000.0,0.7742336894342167,0.6055397769605266
0.0,0.05,5950000.0,0.45615033221654855,0.040532874706842636
0.0,0.05,6400000.0,0.5684339488686485,0.04137373412208967
0.0,0.05,6850000.0,0.018789800436355142,0.5541937053379897
0.0,0.05,7300000.0,0.6176354970758771,0.8976248032561358
0.0,0.05,7750000.0,0.6120957227224214,0.35289847226479165
0.0,0.05,8200000.0,0.6169339968747569,0.4954350581037612
0.0,0.05,8650000.0,0.9437480785146242,0.8810935073737457
0.0,0.05,9100000.0,0.6818202991034834,0.16082623837988375
0.0,0.05,9550000.0,0.359507900573786,0.152713711704076
0.0,0.05,10000000.0,0.43703195379934145,0.9055061670566624
0.0,0.1,1000000.0,0.6976311959272649,0.6790876677617993
0.0,0.1,1450000.0,0.06022547162926983,0.6892061903652532
0.0,0.1,1900000.0,0.6667667154456677,0.12357303502446382
0.0,0.1,2350000.0,0.6706378696181594,0.5646933299773925
0.0,0.1,2800000.0,0.2103825610738409,0.6669361157447747
0.0,0.1,3250000.0,0.1289262976548533,0.654098972147429
0.0,0.1,3700000.0,0.31542835092418386,0.48184362045393636
0.0,0.1,4150000.0,0.3637107709426226,0.667697949667962
0.0,0.1,4600000.0,0.5701967704178796,0.7563834049800322
0.0,0.1,5050000.0,0.43860151346232035,0.9592405358930934
0.0,0.1,5500000.0,0.9883738380592262,0.9169023461006692
0.0,0.1,5950000.0,0.10204481074802807,0.24700052255370764
0.0,0.1,6400000.0,0.2088767560948347,0.35133682095918073
0.0,0.1,6850000.0,0.16130951788499626,0.32977238555595334
0.0,0.1,7300000.0,0.6531083254653984,0.6879875254184445
0.0,0.1,7750000.0,0.2532916025397821,0.9175526832177511
0.0,0.1,8200000.0,0.4663107728563063,0.01202782828847937
0.0,0.1,8650000.0,0.24442559200160274,0.3722098826144443
0.0,0.1,9100000.0,0.15896958364551972,0.9750250296838606
0.0,0.1,9550000.0,0.11037514116430513,0.5647747252673347
0.0,0.1,10000000.0,0.6563295894652734,0.9549080931174789
0.0,0.15000000000000002,1000000.0,0.1381829513486138,0.05607098873578453
0.0,0.15000000000000002,1450000.0,0.1965823616800535,0.05874240835896627
0.0,0.15000000000000002,1900000.0,0.3687251706609641,0.4818630619715474
0.0,0.15000000000000002,2350000.0,0.8209932298479351,0.8393533577243352
0.0,0.15000000000000002,2800000.0,0.09710127579306127,0.5702146439428551
0.0,0.15000000000000002,3250000.0,0.8379449074988039,0.09186926555833341
0.0,0.15000000000000002,3700000.0,0.09609840789396307,0.7943664477326667
0.0,0.15000000000000002,4150000.0,0.9764594650133958,0.4720268207166691
